Sector,country_name,ISO_CODE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Power Industry,Austria,AUT,8.1320522,10.3855258,10.58724051,10.83388029,9.51021455,9.2588556,11.90343931,9.61737759,10.0533329,10.4215852,9.357790693,10.4539895,9.36242348,9.350236137,10.30891106,10.51621894,10.1356272,10.61603073,9.804378871,10.82644119,14.3499455,15.35219784,12.38339301,12.18552897,13.12339347,14.48036484,15.90987774,16.00697237,14.73604943,14.4715231,13.47400051,15.19315376,14.9842954,17.35644944,17.84426611,18.15669016,17.25909925,16.33592443,15.72029296,14.45415178,17.20458368,16.989887,15.17728766,14.5065778,12.69859907,13.72446511,13.80097508,14.28948494
Power Industry,Azerbaijan,AZE,5.99283,5.99283,6.49362,7.49778,8.53023,9.3203,9.97654,10.457,10.99164,11.57413,12.01092,12.76858,13.24566,13.6031,13.67085,13.91585,13.98783,14.16101,13.74025,13.12792,19.82404,20.61186,21.89225,21.49044,16.085366,15.149771,14.133721,13.6485356,14.7443223,14.7021558,15.3248776,13.8160382,12.645105,14.2530478,13.304166,13.944479,14.359397,12.47603868,11.68696845,9.45510005,8.35648911,9.62202665,11.75384232,11.65627259,12.24871974,12.4637226,13.01737892,12.42489054
Power Industry,Bahamas,BHS,0.53827125,0.53827125,0.52976127,0.59708992,0.53180387,0.66176981,0.70911657,0.733191,0.873515,0.7596006,0.75948538,0.7840432,0.6463655,0.4790257,0.47931707,0.49136844,0.49004942,0.56026091,0.56974043,0.540966485,0.612789155,0.633626762,0.563435595,0.498949108,0.541835958,0.722657111,0.810501258,0.73427931,0.848079899,0.665975993,0.6834702,0.6924132,0.707249,0.8878116,0.9313246,0.9833003,0.9545604,0.9407613,0.6837477,0.7988648,0.8070945,0.9154425,1.519425704,1.6457716,1.5554176,1.48536,1.48536,1.48536
Power Industry,Bahrain,BHR,0.30423,0.30423,0.314384,0.353879,0.406669,0.711741,0.961835,1.205028,1.325304,1.763274,2.011915,2.174994,2.319902,2.780486,5.291683,5.802991,6.108616,5.888147,6.270688,6.397314,6.747257,6.338906,8.160698,8.919055,9.168868,9.264966,9.732393,9.909889,10.823266,11.033811,11.361095,11.820724,12.375264,13.008092,12.671192,14.969773,16.6920726,16.4321146,17.564131,17.789858,17.97393,18.356722,18.79958,19.68973141,20.54975441,20.43866042,21.10071781,21.19413765
Power Industry,Bangladesh,BGD,0.67386034,0.67386034,0.67386063,1.03922112,1.0259903,0.8894737,0.9344683,1.02615928,1.25061208,1.38910529,1.5488029,1.463657,1.7882763,1.8036457,1.9448676,2.8418977,3.2942879,3.5427994,4.0608834,4.0556382,4.3128146,4.46929933,5.0618571,5.6243731,5.9264706,6.5362533,6.5462937,6.9675535,7.6264484,8.613639,8.80887,10.524666,11.316894,11.36699,13.4605585,14.6636302,16.8776472,17.9569664,19.6554887,21.3105658,24.1165404,25.1435366,28.1080436,30.920429,32.7628524,33.4752206,34.21780865,35.50497079
Power Industry,Barbados,BRB,0.12558575,0.12558575,0.12359996,0.13930856,0.12407707,0.15441331,0.16546068,0.17107796,0.20382018,0.17723988,0.17721326,0.1866769,0.17956281,0.18695411,0.194336342,0.253177448,0.279161854,0.272397015,0.271023187,0.259716486,0.269847122,0.324015306,0.342919409,0.287918021,0.269667623,0.301466089,0.267363346,0.298478955,0.337018628,0.3052595,1.0214079,1.5596587,1.5643523,1.7985138,1.589575,1.6575579,1.68993266,1.72528269,1.85874329,1.8294053,1.84815939,1.8627289,2.111079686,2.2383454,2.2347917,2.3070604,2.3070604,2.3070604
Power Industry,Belarus,BLR,24.9533017,24.9533017,27.6724215,31.4770648,33.3445855,38.0038551,37.7825081,40.224983,40.494341,43.696768,43.377772,47.186475,46.823379,47.49906,46.153212,46.089517,45.715789,44.616226,42.9302842,39.2619364,57.445432,54.147793,51.349906,44.0254105,40.2459516,34.5631684,34.6141366,35.615914,33.8767779,33.3522457,31.976828,32.1129912,31.6873546,31.597394,33.6951215,33.0949228,33.5792778,31.5804442,32.6862445,31.2736294,33.0069707,30.2149357,29.6983806,29.1867718,29.2742868,27.5400216,27.88321092,28.42665027
Power Industry,Belgium,BEL,27.047808,29.2849332,32.5642725,35.6049689,38.689391,28.63983759,31.74170582,30.48267502,32.55779214,34.64983657,34.83058479,33.11777188,30.9977343,26.747054,25.63168807,21.94386819,19.55836457,20.6277121,22.36908763,23.86249306,25.8942839,26.01790626,25.28579977,25.79225308,27.80301386,28.10041152,27.29943041,25.93405241,27.88585428,25.22331932,26.06913805,24.03098829,24.11327131,25.15608064,24.83334463,25.39196655,24.80072494,24.25581341,23.08387934,21.218615,23.02532682,19.70773356,19.66901466,17.77365072,16.50908501,17.44968366,17.48068147,17.43908559
Power Industry,Belize,BLZ,0.026911108,0.026911108,0.02648565,0.02985191,0.02658795,0.03308855,0.0354559,0.03665957,0.04367573,0.03797998,0.03797424,0.03733543,0.03590922,0.03505075,0.03886351,0.044674137,0.05939991,0.04668839,0.033514099,0.042707834,0.074730331,0.085625379,0.072701326,0.060478616,0.060203975,0.08403003,0.06754194,0.091776234,0.094222049,0.08324706,0.13087725,0.17678631,0.18057396,0.18690765,0.21240689,0.20857845,0.2024824,0.22399059,0.1272091,0.11412346,0.11529924,0.13077757,0.217060735,0.21736594,0.20693796,0.21766557,0.21766557,0.21766557
Power Industry,Benin,BEN,NULL,NULL,NULL,0.022362,0.0064467,0.0064467,0.0064467,0.012729,0.012729,0.012729,0.0159153,0.0126387,0.022362,0.0575433,0.0378291,0.0286314,0.0286314,0.0254451,0.0222717,0.0222717,0.025458,0.025458,0.0286314,0.0318177,0.0347331,0.0317274,0.0348234,0.04746212,0.05417967,0.047910312,0.05100631,0.0637224,0.070095,0.0607296,0.0606264,0.0767964,0.10862696,0.1472496,0.157150202,0.0930696,0.0834366,0.0738036,0.03208527,0.0641706,0.1733199,0.231044,0.247298365,0.278316314
Power Industry,Bermuda,BMU,0.07176299,0.07176299,0.07062846,0.07960487,0.07090109,0.08823598,0.09454893,0.09775878,0.1164687,0.10127993,0.10126471,0.08711585,0.08378815,0.0934683,0.10363621,0.1042396,0.1039499,0.15562842,0.18432733,0.185066986,0.134514551,0.137000416,0.109051938,0.105837586,0.105357199,0.117641849,0.13508378,0.122368332,0.125629321,0.110996009,0.11633545,0.10312549,0.12038267,0.12460495,0.14705096,0.13408633,0.13016722,0.17919257,0.127209,0.16303361,0.16471318,0.18682501,0.310086683,0.18631369,0.18591486,0.21139148,0.21139148,0.21139148
Power Industry,Bhutan,BTN,0.000144304,0.000144304,0.000296134,0.000443255,0.000524084,0.000533921,0.000610558,0.000951815,0.000693778,0.000764418,0.00078775,0.00690471,0.00946436,0.00875754,0.006804626,0.01009994,0.01033856,0.0128643,0.01265423,0.01120966,0.02107297,0.02056217,0.02178177,0.02303208,0.00973466,0.02496524,0.02773121,0.02883821,0.03653131,0.03215134,0.06426008,0.07855311,0.08037058,0.0679466,0.06211272,0.10868756,0.10680576,0.0981735,0.1144066,0.1402716,0.1245465,0.1309641,0.1543024,0.12668134,0.159665,0.1305473,0.144997618,0.154288321
Power Industry,Bolivia,BOL,0.2184104,0.2184104,0.2365154,0.2467013,0.2669183,0.2858345,0.29225446,0.33371528,0.37893491,0.40036245,0.38388132,0.45421564,0.37141499,0.41785505,0.44546369,0.42970784,0.48502314,0.49434994,0.48038985,0.5692656,0.71520664,0.63207332,0.83683746,0.76651341,1.03090487,1.21405001,1.05487857,1.26858717,1.46873172,1.03318197,1.22377824,1.01879778,1.08876026,1.38679535,1.34203134,1.62096024,1.73822164,1.92657957,2.19272887,2.41923376,2.92488445,3.14571194,3.28292118,3.17510128,3.62033527,3.37115437,3.464405405,3.52248171
Power Industry,Bosnia and Herzegovina,BIH,3.0154414,3.0154414,3.2627094,3.6422685,3.5977565,3.9550145,4.8005541,5.0582164,5.6775001,6.2512048,6.3539096,7.9673308,8.280239,9.629207,10.5306618,11.1648325,11.5166837,11.2355519,11.734933,11.763969,10.723479,8.699607,6.88167,5.9755466,0.6853951,0.7904351,2.0971141,5.8341921,7.9307236,7.8108176,8.8603942,8.706006,9.507627,10.277277,10.143237,10.369766,11.692252,12.24195,13.2786519,13.62126249,13.3931324,15.97686536,14.76498959,14.5479182,14.54788655,14.81781244,15.57733405,15.97333106
Power Industry,Botswana,BWA,0.01040063,0.01040063,0.010567666,0.007842426,0.000840998,0.003952291,0.2727493,0.29262113,0.39096737,0.43994925,0.45155271,0.6333983,0.6880877,0.632965,0.566314,0.6062891,0.7598957,0.7815634,1.060986,1.171668,1.519537,1.400169,1.6516373,1.641399,1.6604943,1.75165,1.312706,1.402834,1.3158923,1.6595483,1.6595483,1.246744,1.3089177,1.3751377,1.607689,1.67872,1.273832,1.075172,1.05006,0.939378,0.566654,1.0760446,2.064183,2.320814,3.748063,3.814456,3.811705464,4.238267233
Power Industry,Brazil,BRA,7.45988213,7.45988213,6.04701071,6.56977557,5.7925472,5.81522716,5.73843352,6.36777366,9.04944891,8.6439714,8.93145932,10.5737783,9.7362444,8.6820456,10.0123733,10.0773868,16.8913838,15.0562491,14.0711719,12.5921326,12.7558843,14.0284443,15.2177303,14.42899208,13.68681872,15.65440203,17.04903662,19.68805197,20.54606366,28.19115844,31.38134509,35.2145529,30.1232348,29.1293345,33.5470352,34.2898768,34.4143727,32.714847,42.0708933,30.34721062,45.0999391,36.62556385,55.10686971,77.31088672,94.77392053,91.13765942,84.07838895,84.56958011
Power Industry,British Virgin Islands,VGB,0.002906401,0.002906401,0.002860448,0.003223998,0.002871501,0.003573556,0.003829227,0.003959232,0.004716976,0.004101835,0.004101214,0.006347018,0.00611654,0.005958607,0.006075677,0.00719253,0.007850998,0.009605241,0.011042231,0.010026947,0.01052709,0.012061864,0.013581035,0.011273477,0.011277275,0.012592193,0.014130461,0.012835421,0.01317745,0.011642543,0.012169246,0.012328483,0.012592609,0.013034293,0.016338986,0.014898466,0.014463027,0.029865513,0.03180222,0.03260666,0.03294269,0.03736502,0.062017399,0.062104493,0.07233133,0.07371492,0.07371492,0.07371492
Power Industry,Brunei,BRN,0.2317933,0.2317933,0.2317933,0.228607,0.2317933,0.2317933,0.2317933,0.2317933,0.2317933,0.2317933,0.3181873,0.4384663,0.5257013,0.6327403,0.6953483,0.7101583,0.7211047,0.9676077,1.0179267,1.050573,1.087933,1.167033,1.293313,1.450903,1.6412893,1.7393493,1.8230493,2.0695597,2.177606,2.0332697,2.0319197,2.070896,2.220966,2.633693,2.6912983,2.6253253,2.7818876,2.5220276,2.7204596,2.863241,2.78257,2.6834293,2.8545303,2.7292063,2.8187286,2.3790216,2.3044768,2.383535582
