Release: EDGARv4.3.2_FT2016 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timeseries 1970-2016 of CO2 emissions by country and sector (Transport, Other industrial combustion, Buildings, Non-combustion, Power Industry) in kton CO2 / year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2_FT2016  (1970 - 2016), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=CO2emi, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,sector,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DZA,Algeria,Non-combustion,CO2,9035.822,12019.12,21686.88,31130.64,23984.8,19418.49,26643.22,29461.56,30810.16,26045.42,25489.24,18666.34,14772.4,13988.78,17584.59,24603.73,22544.38,20295.37,18827.1,19183.39,15043.01,15557.06,22375.19,21054.05,20489.37,22068.92,21504.32,19212.22,18080.01,17896.82,19822.52,17144.39,16068.34,18780.92,17061.99,18482.21,20218.96,18945.33,20384.89,17908.25,19004.7,17910.54,22766.45,23296.47,25682.51,28439.9,29333.35
DZA,Algeria,Transport,CO2,2661.081,2661.081,2639.812,2980.781,3282.369,3653.399,4124.496,4540.848,5194.348,5668.211,6215.815,6785.108,7096.338,7604.45,8158.773,12409.86,12537.95,12665.58,12707.98,12929.5,15808.58,16880.19,16801.13,16960.81,15521.17,15110.05,14964.02,15013.06,15460.92,16471.43,16846.77,17041.02,19357.82,21760.06,22024.9,24161.66,25626.2,27600.99,29182.98,30528.52,31728.11,32659.3,37061.6,38136.58,41167.28,44164.85,43949.52
DZA,Algeria,Other industrial combustion,CO2,2476.46,2476.46,3341.83,4282.99,4509.85,4819.74,5500.41,6561.76,8571.68,12485.2,11024.4,14176.6,17972,19322.6,16772.8,16195.5,18900.7,19009.9,20404.4,19454.3,18547.7,19707.3,19342.3,19978.9,18573.4,19586.1,19005.7,19652.9,18423.8,19754.3,19494.8,19913,21345.4,20758.4,19666.9,20154.4,20931.6,21356.5,21182.8,21846.1,22191.8,22284.5,22750.3,23410.18,25270.57,27110.64,26978.46
DZA,Algeria,Power Industry,CO2,1645.87,1645.87,1550.24,1221.97,1465.17,2111.9,2530.89,2819.27,3299.02,3662.24,5123.77,5311.71,6917.35,7855.24,8112.5,8593.61,10246.8,9437.59,10398.4,10392,10224.1,10593.5,11029.2,11527.4,12345.4,12546.4,12610.7,13347.8,14952.1,15605.2,15835.3,16620.6,17551,18782.2,19840.2,20654.1,22004.6,22329.3,24123.6,24670.9,25091,28632.6,28632.6,29463.09,31804.51,34120.34,33953.99
DZA,Algeria,Buildings,CO2,1811.36,1811.36,2110.35,2509.72,2684.84,2966.35,3787.37,3798.42,4455.69,5160.72,5368.67,5841.09,6243.33,7040.26,7757.65,4868.04,5601.01,6013.34,6025.39,6762.99,6591.88,7541.4,7781.64,8229.64,8168.97,8091.49,8309.27,7978.1,8632.99,9090.4,9327.43,9526.2,9890.28,10679.2,11514.9,12499.7,12192.7,13601.1,13477.1,17391.7,16794,18556.5,18556.5,19094.73,20612.19,22113.05,22005.24
AGO,Angola,Non-combustion,CO2,6460.925,6101.426,7040.364,8094.52,8455.442,7925.994,4729.263,9274.912,10256.87,10257.67,10265.93,9428.684,9305,9594.835,9798.07,9943.871,10122.81,10282.27,10362.58,10424.38,6480.483,6886.557,7301.117,7013.78,6488.546,8016.555,10173.16,10689.12,11778.43,11766.67,10527.05,9903.419,9267.229,9141.716,8893.646,8685.935,7505.863,6728.473,6823.196,6611.7,7682.093,7690.714,6812.266,6598.913,7588.403,10157,10365.49
AGO,Angola,Transport,CO2,1026.25,1026.25,1715.5,1447.52,1301.92,1098.46,1107.05,648.849,1333.04,1055.22,996.036,871.851,855.914,777.049,702.418,1039.42,1026.04,1041.98,1242.88,1304,1016.55,1257.43,1187.03,1211.97,1541.01,1070.88,987.999,1052.17,834.154,1156.6,1074.56,1204.49,1480.846,2754.27,3142.15,2454.78,3265.297,3858.849,5157.27,5704.424,6777.87,6891.446,7285.896,8253.091,8800.559,8908.364,9236.893
AGO,Angola,Other industrial combustion,CO2,333.76,333.76,392.364,441.402,448.73,388.869,393.463,412.512,567.015,540.494,563.839,588.972,539.108,581.919,859.551,1014.3,919.575,1007.13,959.012,1029.34,1950.61,1819.4,1912.03,2373.46,1832.56,2003.61,2095.66,1953.08,1500.61,1705.04,1780.42,1832.41,2000.09,2025.24,2307.01,1929.36,2161.6,2480.57,2303.75,2428.85,2570.76,2570.46,2589.46,2933.208,3127.782,3166.097,3282.859
AGO,Angola,Buildings,CO2,120.17,120.17,138.621,141.389,131.305,115.558,92.498,98.6273,329.552,557.335,698.433,662.268,380.998,502.441,548.893,602.907,621.446,626.794,752.174,726.492,663.177,691.301,618.271,514.755,632.005,667.021,910.553,911.315,1013.53,1260.06,1049.63,1174.95,1201.28,1257.57,1303.07,997.789,1956.96,2331.21,2966.76,3512.04,3821.28,3829.53,3829.53,4337.896,4625.65,4682.313,4854.991
AGO,Angola,Power Industry,CO2,137.546,137.546,159.283,168.752,371.864,352.957,346.584,346.584,346.584,386.987,399.806,399.806,421.991,459.552,117.38,160.956,204.455,173.34,260.492,244.935,291.607,244.935,172.624,125.175,175.02,171.847,197.037,416.667,385.118,621.122,728.524,820.55,820.55,1027.55,653.298,767.417,868.968,976.807,1385.89,2226.4,2369.07,2229.65,2229.65,2525.634,2693.171,2726.162,2826.7
